round,clone,number,P0,A1,A0,f,ss.f,length,mm,time ,fecundity,death.age,end.size,dead,infected,susceptible,spore yield,mult.inf,mult.uninf,mult.ed,tolerant
1,Bris.10,12,75,,,,,avg,1.138785091,0.353472222,1,11,,1,0,1,0,0,0,1,No
1,Bris.10,13,75,,,,,avg,1.138785091,0.353472222,21,17,88,1,0,1,0,0,1,0,No
1,Bris.10,14,75,,,,,avg,1.138785091,0.353472222,3,12,84,1,0,1,0,0,1,0,No
1,Bris.10,15,75,,,,,avg,1.138785091,0.353472222,4,13,77,1,0,1,0,0,1,0,No
1,Bris.10,1,200,,,,,avg,1.138785091,0.353472222,12,16,75,1,0,1,0,0,1,0,No
1,Bris.10,2,200,,,,,avg,1.138785091,0.353472222,7,18,76,1,0,1,0,0,1,0,No
1,Bris.10,3,200,,,,,avg,1.138785091,0.353472222,22,,94,0,0,1,0,0,1,0,No
1,Bris.10,4,200,,,,,avg,1.138785091,0.353472222,9,14,75,1,0,1,0,0,1,0,No
1,Bris.10,5,200,,,,,avg,1.138785091,0.353472222,11,16,88,1,1,0,31.75,1,0,0,No
1,Bris.10,6,200,,,,,avg,1.138785091,0.353472222,9,13,84,1,1,0,,1,0,0,No
1,Bris.10,7,200,,,,,avg,1.138785091,0.353472222,28,,91,0,0,1,0,0,1,0,No
1,Bris.10,8,200,,,,,avg,1.138785091,0.353472222,10,14,84,1,0,1,0,0,1,0,No
1,Bris.10,9,200,,,,,avg,1.138785091,0.353472222,5,13,75,1,1,0,,1,0,0,No
1,Bris.10,10,200,,,,,avg,1.138785091,0.353472222,14,20,86,1,0,1,0,0,1,0,No
1,Bris.10,11,200,,,,,avg,1.138785091,0.353472222,6,19,73,1,0,1,0,0,1,0,No
1,Bris.10,12,200,,,,,avg,1.138785091,0.353472222,12,16,81,1,0,1,0,0,1,0,No
1,Bris.10,13,200,,,,,avg,1.138785091,0.353472222,12,14,73,1,0,1,0,0,1,0,No
1,Bris.10,14,200,,,,,avg,1.138785091,0.353472222,7,,82,0,0,1,0,0,1,0,No
1,Bris.10,15,200,,,,,avg,1.138785091,0.353472222,10,15,79,1,1,0,19.625,1,0,0,No
1,Bris.10,1,393,393.23,385.9988889,-0.787623057,-0.462138063,67,1.305489372,0.353472222,16,17,83,1,0,1,0,0,1,0,No
1,Bris.10,2,393,344.31,385.9988889,4.850115627,3.931925724,57,1.110640212,0.353472222,8,18,75,1,0,1,0,0,1,0,No
1,Bris.10,3,393,360.36,385.9988889,2.916677245,2.283680326,58,1.130125128,0.353472222,12,16,86,1,1,0,36.5,1,0,0,No
1,Bris.10,4,393,341.48,385.9988889,5.200353992,3.051309255,67,1.305489372,0.353472222,16,20,88,1,0,1,0,0,1,0,No
1,Bris.10,5,393,352.8,385.9988889,3.816417295,3.093919916,57,1.110640212,0.353472222,9,16,78,1,1,0,25.75,1,0,0,No
1,Bris.10,6,393,339.62,385.9988889,5.432130336,4.110257993,59,1.149610044,0.353472222,26,,84,0,0,1,0,0,1,0,No
1,Bris.10,7,393,349.97,385.9988889,4.158193272,3.492460811,56,1.091155296,0.353472222,8,16,75,1,0,1,0,0,1,0,No
1,Bris.10,8,393,365.46,385.9988889,2.32030921,1.948824515,56,1.091155296,0.353472222,15,20,85,1,0,1,0,0,1,0,No
1,Bris.10,9,393,364.1,385.9988889,2.47852301,2.955290404,47,0.915791052,0.353472222,0,15,,1,0,1,0,0,1,0,No
1,Bris.10,10,393,302.47,385.9988889,10.34815651,7.324976622,61,1.188579876,0.353472222,2,14,78,1,0,1,0,0,1,0,No
1,Bris.10,12,393,344.11,385.9988889,4.874772755,8.891808609,38,0.740426808,0.353472222,3,17,67,1,0,1,0,0,1,0,No
1,Bris.10,13,393,312.21,385.9988889,9.003187773,7.298767355,57,1.110640212,0.353472222,17,16,78,1,0,1,0,0,1,0,No
1,Bris.10,14,393,322.4,385.9988889,7.640267141,4.913053803,64,1.247034624,0.353472222,16,16,78,1,0,1,0,0,1,0,No
1,Bris.10,15,393,368.03,385.9988889,2.022932695,1.480068641,60,1.16909496,0.353472222,0,14,70,1,1,0,17.875,1,0,0,No
1,Bris.112,1,0,290.75,385.9988889,12.00158257,9.081078258,59,1.149610044,0.354166667,5,19,81,1,0,1,,0,1,0,No
1,Bris.112,2,0,264.14,385.9988889,16.06680954,16.27017475,51,0.993730716,0.354166667,16,23,83,1,0,1,,0,1,0,No
1,Bris.112,3,0,,,,,53,1.032700548,0.354166667,5,11,,1,0,1,,0,0,1,No
1,Bris.112,4,0,263.62,385.9988889,16.15026997,11.81626466,60,1.16909496,0.354166667,22,20,88,1,0,1,,0,1,0,No
1,Bris.112,5,0,308.46,385.9988889,9.497321604,7.436148973,58,1.130125128,0.354166667,11,20,92,1,0,1,,0,1,0,No
1,Bris.112,6,0,231.84,385.9988889,21.59097935,16.3369599,59,1.149610044,0.354166667,25,17,86,1,0,1,,0,1,0,No
1,Bris.112,7,0,274.76,385.9988889,14.39731066,10.1911837,61,1.188579876,0.354166667,18,15,83,1,0,1,,0,1,0,No
1,Bris.112,8,0,249.91,385.9988889,18.41224819,15.46442194,56,1.091155296,0.354166667,15,,89,0,0,1,,0,1,0,No
1,Bris.112,9,0,228.97,385.9988889,22.11854825,14.22327461,64,1.247034624,0.354166667,23,20,89,1,0,1,,0,1,0,No
1,Bris.112,10,0,296.04,385.9988889,11.23792563,10.94667919,52,1.013215632,0.354166667,25,18,86,1,0,1,,0,1,0,No
1,Bris.112,11,0,257.32,385.9988889,17.17471247,12.99536183,59,1.149610044,0.354166667,12,15,,1,0,1,,0,1,0,No
1,Bris.112,12,0,262.92,385.9988889,16.26288088,11.51173372,61,1.188579876,0.354166667,12,20,,1,0,1,,0,1,0,No
1,Bris.112,14,0,230.53,385.9988889,21.83097113,19.00862052,55,1.07167038,0.354166667,6,23,,1,0,1,,0,1,0,No
1,Bris.112,15,0,230.87,385.9988889,21.7685524,15.92685305,60,1.16909496,0.354166667,11,23,87,1,0,1,,0,1,0,No
1,Bris.112,1,75,,,,,avg,1.104866904,0.354166667,12,17,77,1,0,1,0,0,1,0,No
1,Bris.112,2,75,,,,,avg,1.104866904,0.354166667,15,22,84,1,0,1,0,0,1,0,No
1,Bris.112,4,75,,,,,avg,1.104866904,0.354166667,3,11,,1,0,1,0,0,0,1,No
1,Bris.112,6,75,,,,,avg,1.104866904,0.354166667,9,17,78,1,1,0,18.875,1,0,0,No
1,Bris.112,7,75,,,,,avg,1.104866904,0.354166667,17,17,82,1,0,1,0,0,1,0,No
1,Bris.112,8,75,,,,,avg,1.104866904,0.354166667,11,13,83,1,0,1,0,0,1,0,No
1,Bris.112,9,75,,,,,avg,1.104866904,0.354166667,12,,85,0,0,1,0,0,1,0,No
1,Bris.112,11,75,,,,,avg,1.104866904,0.354166667,4,12,78,1,0,1,0,0,1,0,No
1,Bris.112,12,75,,,,,avg,1.104866904,0.354166667,12,18,83,1,0,1,0,0,1,0,No
1,Bris.112,13,75,,,,,avg,1.104866904,0.354166667,21,20,84,1,0,1,0,0,1,0,No
1,Bris.112,14,75,,,,,avg,1.104866904,0.354166667,0,14,64,1,1,0,,1,0,0,No
1,Bris.112,2,200,,,,,avg,1.104866904,0.354166667,0,17,59,1,1,0,,1,0,0,No
1,Bris.112,4,200,,,,,avg,1.104866904,0.354166667,10,14,80,1,1,0,,1,0,0,No
1,Bris.112,5,200,,,,,avg,1.104866904,0.354166667,2,14,63,1,1,0,7.625,1,0,0,No
1,Bris.112,6,200,,,,,avg,1.104866904,0.354166667,0,11,,1,0,1,0,0,0,1,No
1,Bris.112,8,200,,,,,avg,1.104866904,0.354166667,17,19,81,1,0,1,0,0,1,0,No
1,Bris.112,9,200,,,,,avg,1.104866904,0.354166667,13,18,82,1,0,1,0,0,1,0,No
1,Bris.112,10,200,,,,,avg,1.104866904,0.354166667,8,14,,1,0,1,0,0,1,0,No
1,Bris.112,12,200,,,,,avg,1.104866904,0.354166667,6,14,,1,0,1,0,0,1,0,No
1,Bris.112,13,200,,,,,avg,1.104866904,0.354166667,16,16,84,1,1,0,29.625,1,0,0,No
1,Bris.112,14,200,,,,,avg,1.104866904,0.354166667,3,17,75,1,0,1,0,0,1,0,No
1,Bris.112,1,393,348.43,385.9988889,4.336820121,3.395614241,58,1.130125128,0.354166667,18,,92,0,0,1,0,0,1,0,No
1,Bris.112,2,393,351.74,385.9988889,3.936376572,3.555593004,54,1.052185464,0.354166667,9,16,,1,1,0,19.5,1,0,0,No
1,Bris.112,3,393,317.16,385.9988889,8.319308295,8.103701876,52,1.013215632,0.354166667,5,14,72,1,0,1,0,0,1,0,No
1,Bris.112,4,393,357.67,385.9988889,3.228298617,3.027086876,53,1.032700548,0.354166667,9,16,81,1,1,0,26.875,1,0,0,No
1,Bris.112,6,393,335.23,385.9988889,5.972511283,4.519140876,59,1.149610044,0.354166667,3,20,84,1,0,1,0,0,1,0,No
1,Bris.112,8,393,336.31,385.9988889,5.836283461,4.569653959,58,1.130125128,0.354166667,10,,93,0,0,1,0,0,1,0,No
1,Bris.112,9,393,301.82,385.9988889,10.41897929,8.446531145,57,1.110640212,0.354166667,7,12,75,1,0,1,0,0,1,0,No
