Genotype,Spores,Sample,Replicate,Time,Abs,Prop_inf,No_in_sample
Midland 252,0,1,2,2,0.2607,0,7
Midland 252,0,2,1,2,0.2727,0,7
Midland 252,0,2,2,2,0.2569,0,7
Midland 252,0,3,1,2,0.2792,0,7
Midland 252,0,3,2,2,0.2818,0,7
Midland 252,0,1,1,3,0.2754,0,7
Midland 252,0,1,2,3,0.2733,0,7
Midland 252,0,2,1,3,0.287,0,7
Midland 252,0,2,2,3,0.2691,0,7
Midland 252,0,3,1,3,0.2996,0,7
Midland 252,0,3,2,3,0.2943,0,7
Midland 252,0,1,1,4,0.289,0,7
Midland 252,0,1,2,4,0.2879,0,7
Midland 252,0,2,1,4,0.3025,0,7
Midland 252,0,2,2,4,0.2864,0,7
Midland 252,0,3,1,4,0.317,0,7
Midland 252,0,3,2,4,0.3091,0,7
Midland 252,0,1,1,4.5,0.2961,0,7
Midland 252,0,1,2,4.5,0.2945,0,7
Midland 252,0,2,1,4.5,0.3096,0,7
Midland 252,0,2,2,4.5,0.2928,0,7
Midland 252,0,3,1,4.5,0.3258,0,7
Midland 252,0,3,2,4.5,0.3161,0,7
Midland 252,150,1,1,0,0.9666,0.714,7
Midland 252,150,1,2,0,0.8545,0.714,7
Midland 252,150,2,1,0,0.966,0,7
Midland 252,150,2,2,0,0.7748,0,7
Midland 252,150,3,1,0,1.1424,0,7
Midland 252,150,3,2,0,0.9245,0,7
Midland 252,150,1,1,1,0.2536,0.714,7
Midland 252,150,1,2,1,0.251,0.714,7
Midland 252,150,2,1,1,0.2527,0,7
Midland 252,150,2,2,1,0.2395,0,7
Midland 252,150,3,1,1,0.2574,0,7
Midland 252,150,3,2,1,0.2541,0,7
Midland 252,150,1,1,2,0.2705,0.714,7
Midland 252,150,1,2,2,0.2639,0.714,7
Midland 252,150,2,1,2,0.2658,0,7
Midland 252,150,2,2,2,0.2534,0,7
Midland 252,150,3,1,2,0.2713,0,7
Midland 252,150,3,2,2,0.2682,0,7
Midland 252,150,1,1,3,0.2879,0.714,7
Midland 252,150,1,2,3,0.2792,0.714,7
Midland 252,150,2,1,3,0.281,0,7
Midland 252,150,2,2,3,0.2664,0,7
Midland 252,150,3,1,3,0.2851,0,7
Midland 252,150,3,2,3,0.2834,0,7
Midland 252,150,1,1,4,0.3029,0.714,7
Midland 252,150,1,2,4,0.2961,0.714,7
Midland 252,150,2,1,4,0.2945,0,7
Midland 252,150,2,2,4,0.2815,0,7
Midland 252,150,3,1,4,0.3009,0,7
Midland 252,150,3,2,4,0.2998,0,7
Midland 252,150,1,1,4.5,0.3177,0.714,7
Midland 252,150,1,2,4.5,0.3029,0.714,7
Midland 252,150,2,1,4.5,0.3017,0,7
Midland 252,150,2,2,4.5,0.289,0,7
Midland 252,150,3,1,4.5,0.3079,0,7
Midland 252,150,3,2,4.5,0.3081,0,7
Midland 252,300,1,1,0,1.2618,0,6
Midland 252,300,1,2,0,0.4654,0,6
Midland 252,300,2,1,0,1.2084,0.8,5
Midland 252,300,2,2,0,0.403,0.8,5
Midland 252,300,3,1,0,1.1042,0,6
Midland 252,300,3,2,0,1.0915,0,6
Midland 252,300,1,1,1,0.2974,0,6
Midland 252,300,1,2,1,0.2444,0,6
Midland 252,300,2,1,1,0.2887,0.8,5
Midland 252,300,2,2,1,0.2471,0.8,5
Midland 252,300,3,1,1,0.2797,0,6
